id,genre_id,genre_name,confidence,update_success
385,,,0.0,True
474,,,0.0,True
358,,,0.0,True
6900,,,0.0,True
12599,,,0.0,True
13036,,,0.0,True
298,,,0.0,True
375,,,0.0,True
12730,,,0.0,True
357,,,0.0,True
273,,,0.0,True
299,,,0.0,True
529,,,0.0,True
350,,,0.0,True
507,,,0.0,True
4684,,,0.0,True
13274,,,0.0,True
6619,,,0.0,True
555,,,0.0,True
5913,,,0.0,True
4652,,,0.0,True
5821,,,0.0,True
12907,,,0.0,True
12747,,,0.0,True
355,,,0.0,True
541,,,0.0,True
5903,,,0.0,True
5894,,,0.0,True
359,,,0.0,True
559,,,0.0,True
5756,,,0.0,True
473,,,0.0,True
327,,,0.0,True
4680,,,0.0,True
554,,,0.0,True
3835,,,0.0,True
4682,,,0.0,True
275,,,0.0,True
13032,,,0.0,True
5904,,,0.0,True
567,,,0.0,True
6832,3.0,creative non-fiction,0.5129857063293457,True
12770,,,0.0,True
13131,,,0.0,True
332,,,0.0,True
12711,,,0.0,True
443,,,0.0,True
479,,,0.0,True
3857,,,0.0,True
6105,,,0.0,True
4460,3.0,creative non-fiction,0.9390812516212463,True
93,,,0.0,True
4177,,,0.0,True
321,,,0.0,True
319,,,0.0,True
12980,,,0.0,True
4676,,,0.0,True
5898,,,0.0,True
5899,,,0.0,True
13143,,,0.0,True
7891,3.0,creative non-fiction,0.5341115593910217,True
6135,2.0,journalism,0.888561487197876,True
3198,1.0,commentary / op-ed,0.9061726927757263,True
6223,3.0,creative non-fiction,0.7719836235046387,True
10573,3.0,creative non-fiction,0.4994904100894928,True
6912,1.0,commentary / op-ed,0.7961865663528442,True
5909,0.0,narrative research,0.9912300109863281,True
159,2.0,journalism,0.7117347121238708,True
3209,1.0,commentary / op-ed,0.969144880771637,True
