id,genre_id,genre_name,confidence,update_success
6900,,,0.0,True
12747,,,0.0,True
13143,,,0.0,True
12599,,,0.0,True
12730,,,0.0,True
12770,,,0.0,True
5913,,,0.0,True
473,,,0.0,True
12711,,,0.0,True
8507,3.0,creative non-fiction,0.6082850098609924,True
8490,3.0,creative non-fiction,0.8879808187484741,True
8512,0.0,narrative research,0.8105179071426392,True
8515,3.0,creative non-fiction,0.6891056895256042,True
12949,2.0,journalism,0.9507801532745361,True
8518,2.0,journalism,0.8845236301422119,True
8498,3.0,creative non-fiction,0.9185462594032288,True
8487,3.0,creative non-fiction,0.9372072815895081,True
8489,4.0,articles/editorials,0.9586299061775208,True
8506,3.0,creative non-fiction,0.6254770755767822,True
8488,1.0,commentary / op-ed,0.9485483765602112,True
3959,2.0,journalism,0.822790801525116,True
3308,2.0,journalism,0.8096365928649902,True
8516,3.0,creative non-fiction,0.6558431386947632,True
8612,3.0,creative non-fiction,0.7757298946380615,True
3707,3.0,creative non-fiction,0.8716577291488647,True
4189,2.0,journalism,0.9396951794624329,True
8509,3.0,creative non-fiction,0.5903770327568054,True
8513,0.0,narrative research,0.577264130115509,True
8511,1.0,commentary / op-ed,0.7968038320541382,True
8522,0.0,narrative research,0.8436734676361084,True
8499,3.0,creative non-fiction,0.6831510066986084,True
4199,2.0,journalism,0.5641320943832397,True
3703,3.0,creative non-fiction,0.7674261927604675,True
8997,3.0,creative non-fiction,0.5345022678375244,True
12929,3.0,creative non-fiction,0.3558014929294586,True
8901,2.0,journalism,0.9445987939834595,True
10773,2.0,journalism,0.974339485168457,True
8493,3.0,creative non-fiction,0.9777978658676147,True
8508,0.0,narrative research,0.6913329362869263,True
12195,1.0,commentary / op-ed,0.9683114290237427,True
12988,2.0,journalism,0.9526653289794922,True
10729,4.0,articles/editorials,0.8428038358688354,True
8893,3.0,creative non-fiction,0.5332408547401428,True
9403,3.0,creative non-fiction,0.6321324110031128,True
8944,0.0,narrative research,0.7984157800674438,True
8906,2.0,journalism,0.5502575039863586,True
9439,1.0,commentary / op-ed,0.5252348780632019,True
8959,0.0,narrative research,0.6910430192947388,True
9517,3.0,creative non-fiction,0.6344587802886963,True
9406,4.0,articles/editorials,0.734104573726654,True
875,1.0,commentary / op-ed,0.9859265089035034,True
3436,0.0,narrative research,0.9110856652259827,True
8908,1.0,commentary / op-ed,0.9399270415306091,True
